date;pollution;dew;temp;press;wnd_dir;wnd_spd;snow;rain
02.01.2010 00:00;129.0;-16;-4.0;1020.0;SE;Jan 79;0;0
02.01.2010 01:00;148.0;-15;-4.0;1020.0;SE;Feb 68;0;0
02.01.2010 02:00;159.0;-11;-5.0;1021.0;SE;Mrz 57;0;0
02.01.2010 03:00;181.0;-7;-5.0;1022.0;SE;Mai 36;1;0
02.01.2010 04:00;138.0;-7;-5.0;1022.0;SE;Jun 25;2;0
02.01.2010 05:00;109.0;-7;-6.0;1022.0;SE;Jul 14;3;0
02.01.2010 06:00;105.0;-7;-6.0;1023.0;SE;Aug 93;4;0
02.01.2010 07:00;124.0;-7;-5.0;1024.0;SE;Okt 72;0;0
02.01.2010 08:00;120.0;-8;-6.0;1024.0;SE;Dez 51;0;0
02.01.2010 09:00;132.0;-7;-5.0;1025.0;SE;14. Mrz;0;0
02.01.2010 10:00;140.0;-7;-5.0;1026.0;SE;17.43;1;0
02.01.2010 11:00;152.0;-8;-5.0;1026.0;SE;20.56;0;0
02.01.2010 12:00;148.0;-8;-5.0;1026.0;SE;23.69;0;0
02.01.2010 13:00;164.0;-8;-5.0;1025.0;SE;27.71;0;0
02.01.2010 14:00;158.0;-9;-5.0;1025.0;SE;31.73;0;0
02.01.2010 15:00;154.0;-9;-5.0;1025.0;SE;35.75;0;0
02.01.2010 16:00;159.0;-9;-5.0;1026.0;SE;37.54;0;0
02.01.2010 17:00;164.0;-8;-5.0;1027.0;SE;39.33;0;0
02.01.2010 18:00;170.0;-8;-5.0;1027.0;SE;42.46;0;0
02.01.2010 19:00;149.0;-8;-5.0;1028.0;SE;44.25;0;0
02.01.2010 20:00;154.0;-7;-5.0;1028.0;SE;46.04;0;0
02.01.2010 21:00;164.0;-7;-5.0;1027.0;SE;49.17;1;0
02.01.2010 22:00;156.0;-8;-6.0;1028.0;SE;52.3;2;0
02.01.2010 23:00;126.0;-8;-6.0;1027.0;SE;55.43;3;0
03.01.2010 00:00;90.0;-7;-6.0;1027.0;SE;58.56;4;0
03.01.2010 01:00;63.0;-8;-6.0;1026.0;SE;61.69;5;0
03.01.2010 02:00;65.0;-8;-7.0;1026.0;SE;65.71;6;0
03.01.2010 03:00;55.0;-8;-7.0;1025.0;SE;68.84;7;0
03.01.2010 04:00;65.0;-8;-7.0;1024.0;SE;72.86;8;0
03.01.2010 05:00;83.0;-9;-8.0;1024.0;SE;76.88;9;0
03.01.2010 06:00;91.0;-10;-8.0;1024.0;SE;80.9;10;0
03.01.2010 07:00;86.0;-10;-9.0;1024.0;SE;84.92;11;0
03.01.2010 08:00;82.0;-10;-9.0;1024.0;SE;89.84;12;0
03.01.2010 09:00;86.0;-11;-9.0;1023.0;SE;93.86;13;0
03.01.2010 10:00;78.0;-11;-9.0;1023.0;SE;97.88;15;0
03.01.2010 11:00;98.0;-11;-9.0;1022.0;SE;102.8;16;0
