;0;1;2;3;4;5;6;7;8
0;0.12977867;0.35294122;0.24590163;0.5272732;0.6666667;0.0022900114;0.0;0.0;0.14889336
1;0.14889336;0.36764708;0.24590163;0.5272732;0.6666667;0.0038109892;0.0;0.0;0.15995975
2;0.15995975;0.4264706;0.22950819;0.545454;0.6666667;0.0053319666;0.0;0.0;0.18209255
3;0.18209255;0.48529413;0.22950819;0.5636368;0.6666667;0.0083910115;0.037037037;0.0;0.13883299
4;0.13883299;0.48529413;0.22950819;0.5636368;0.6666667;0.009911989;0.074074075;0.0;0.10965794
5;0.10965794;0.48529413;0.21311474;0.5636368;0.6666667;0.011432966;0.11111111;0.0;0.1056338
6;0.1056338;0.48529413;0.21311474;0.5818176;0.6666667;0.014492012;0.14814815;0.0;0.12474848
7;0.12474848;0.48529413;0.22950819;0.6000004;0.6666667;0.017551057;0.0;0.0;0.12072434
8;0.12072434;0.47058827;0.21311474;0.6000004;0.6666667;0.020610102;0.0;0.0;0.13279678
9;0.13279678;0.48529413;0.22950819;0.61818314;0.6666667;0.023669146;0.0;0.0;0.14084506
10;0.14084506;0.48529413;0.22950819;0.636364;0.6666667;0.029018203;0.037037037;0.0;0.1529175
11;0.1529175;0.47058827;0.22950819;0.636364;0.6666667;0.03436726;0.0;0.0;0.14889336
12;0.14889336;0.47058827;0.22950819;0.636364;0.6666667;0.039716315;0.0;0.0;0.16498993
13;0.16498993;0.47058827;0.22950819;0.61818314;0.6666667;0.046586346;0.0;0.0;0.15895371
14;0.15895371;0.45588237;0.22950819;0.61818314;0.6666667;0.05345638;0.0;0.0;0.15492958
15;0.15492958;0.45588237;0.22950819;0.61818314;0.6666667;0.060326416;0.0;0.0;0.15995975
16;0.15995975;0.45588237;0.22950819;0.636364;0.6666667;0.063385464;0.0;0.0;0.16498993
17;0.16498993;0.47058827;0.22950819;0.65454674;0.6666667;0.06644451;0.0;0.0;0.17102616
18;0.17102616;0.47058827;0.22950819;0.65454674;0.6666667;0.07179356;0.0;0.0;0.1498994
19;0.1498994;0.47058827;0.22950819;0.6727276;0.6666667;0.07485261;0.0;0.0;0.15492958
20;0.15492958;0.48529413;0.22950819;0.6727276;0.6666667;0.07791165;0.0;0.0;0.16498993
21;0.16498993;0.48529413;0.22950819;0.65454674;0.6666667;0.08326071;0.037037037;0.0;0.15694164
22;0.15694164;0.47058827;0.21311474;0.6727276;0.6666667;0.08860976;0.074074075;0.0;0.12676056
23;0.12676056;0.47058827;0.21311474;0.65454674;0.6666667;0.093958825;0.11111111;0.0;0.090543255
24;0.090543255;0.48529413;0.21311474;0.65454674;0.6666667;0.09930788;0.14814815;0.0;0.06338028
25;0.06338028;0.47058827;0.21311474;0.636364;0.6666667;0.104656935;0.1851852;0.0;0.06539235
26;0.06539235;0.47058827;0.1967213;0.636364;0.6666667;0.111526966;0.22222222;0.0;0.05533199
27;0.05533199;0.47058827;0.1967213;0.61818314;0.6666667;0.11687602;0.25925925;0.0;0.06539235
28;0.06539235;0.47058827;0.1967213;0.6000004;0.6666667;0.12374606;0.2962963;0.0;0.083501
29;0.083501;0.45588237;0.18032786;0.6000004;0.6666667;0.13061608;0.33333334;0.0;0.09154929
30;0.09154929;0.44117647;0.18032786;0.6000004;0.6666667;0.13748613;0.3703704;0.0;0.086519115
31;0.086519115;0.44117647;0.16393442;0.6000004;0.6666667;0.14435616;0.4074074;0.0;0.08249497
32;0.08249497;0.44117647;0.16393442;0.6000004;0.6666667;0.15276426;0.44444445;0.0;0.086519115
33;0.086519115;0.4264706;0.16393442;0.5818176;0.6666667;0.15963429;0.4814815;0.0;0.07847082
34;0.07847082;0.4264706;0.16393442;0.5818176;0.6666667;0.16650432;0.5555556;0.0;0.098591544
35;0.098591544;0.4264706;0.16393442;0.5636368;0.6666667;0.17491244;0.5925926;0.0;0.10764587
36;0.10764587;0.4264706;0.16393442;0.545454;0.6666667;0.1802615;0.6296296;0.0;0.090543255
