,0
0,0.07884756
1,0.076016024
2,0.06566116
3,0.06373542
4,0.06402317
5,0.0628588
6,0.059144124
7,0.06028632
8,0.067526914
9,0.06730206
10,0.06966273
11,0.06847905
12,0.075022586
13,0.087068535
14,0.08513394
15,0.08226359
16,0.08697462
17,0.08996782
18,0.09669037
19,0.11242903
20,0.115451194
21,0.12497114
22,0.12509266
23,0.11659593
24,0.10806652
25,0.120153
26,0.12691067
27,0.18189952
28,0.21741578
29,0.23226066
30,0.20487083
31,0.20799112
32,0.1909886
33,0.16438764
34,0.15298618
35,0.12908605
36,0.14122432
37,0.18025444
38,0.20811075
39,0.21509592
40,0.2274279
41,0.21886326
42,0.22436003
43,0.28871962
44,0.318408
45,0.26716012
46,0.27581564
47,0.25768465
48,0.26438075
49,0.3149899
50,0.18885395
51,0.15881614
52,0.11817058
53,0.10608256
54,0.10871189
55,0.11681747
56,0.10151618
57,0.11682641
58,0.13746007
59,0.14372551
60,0.14341119
61,0.13265409
62,0.12256495
63,0.12804593
64,0.10102758
65,0.104948774
66,0.11230212
67,0.107500106
68,0.09857053
69,0.09384006
70,0.08755178
71,0.080309205
72,0.07134192
73,0.07403044
74,0.06786163
75,0.06527265
76,0.07070695
77,0.06710366
78,0.06820828
79,0.065447606
80,0.063474275
81,0.0651671
82,0.063091815
83,0.06440612
84,0.06166785
85,0.062307622
86,0.059216727
87,0.06099156
88,0.060972404
89,0.059262715
90,0.054060154
91,0.05950112
92,0.0606833
93,0.06068501
94,0.072572015
95,0.05617501
96,0.05737418
97,0.06145987
98,0.055147838
99,0.05698839
100,0.05818426
101,0.058199566
102,0.054632485
103,0.05239771
104,0.054994706
105,0.05878357
106,0.05852814
107,0.057103593
108,0.061041035
109,0.058296114
110,0.060707007
111,0.056005847
112,0.056336395
113,0.062371176
114,0.06364867
115,0.06487755
116,0.069727086
117,0.0650766
118,0.07149621
119,0.06637436
120,0.062225714
121,0.061636187
122,0.060884383
123,0.07163796
124,0.06307945
125,0.058994424
126,0.06818388
127,0.0718541
128,0.08692451
129,0.067729145
130,0.074870795
131,0.082067214
132,0.084644526
133,0.10016347
134,0.09677587
135,0.09996769
136,0.100278124
137,0.098598555
138,0.112272896
139,0.12168825
140,0.12163767
141,0.13396095
142,0.13357306
143,0.1555408
144,0.16047284
145,0.16578121
146,0.20030774
147,0.19111279
148,0.20698799
149,0.21432494
150,0.15530802
151,0.11894865
152,0.068629175
153,0.06299908
154,0.060129758
155,0.06441414
156,0.06328483
157,0.06596936
158,0.06857522
159,0.060312875
160,0.11110307
161,0.115371525
162,0.10859312
163,0.101861745
164,0.103931
165,0.109165475
166,0.10887193
167,0.105907835
168,0.06754667
169,0.07218937
170,0.06668004
171,0.06546047
172,0.06681639
173,0.06394241
174,0.07379538
175,0.07242994
176,0.07068244
177,0.062459804
178,0.052953303
179,0.03971132
180,0.044505067
181,0.039046656
182,0.039887846
183,0.04093828
184,0.04071304
185,0.044439904
186,0.0468414
187,0.047142114
188,0.053698216
189,0.05421017
190,0.06118258
191,0.061693996
192,0.025750233
193,0.031767692
194,0.031869225
195,0.032722536
196,0.032514967
197,0.040493265
198,0.16098048
199,0.15641299
200,0.15701573
201,0.14438476
202,0.13618891
203,0.13656782
204,0.12614226
205,0.11661057
206,0.10504418
207,0.104722925
208,0.08463847
209,0.098492436
210,0.113962926
211,0.11327314
212,0.1302981
213,0.14668207
214,0.15502693
215,0.14563675
216,0.15056434
217,0.115718514
218,0.07694464
219,0.07364668
220,0.07705359
221,0.06402412
222,0.06317873
223,0.05860065
224,0.059564162
225,0.059926815
226,0.062304188
227,0.06497683
228,0.064789325
229,0.060106672
230,0.052753724
231,0.0618427
232,0.056261994
233,0.057476796
234,0.06301687
235,0.06484697
236,0.07081288
237,0.06693664
238,0.086766616
239,0.10259125
240,0.08783635
241,0.06905958
242,0.07924127
243,0.08121758
244,0.07850539
245,0.08104958
246,0.0925876
247,0.104425125
248,0.10582237
249,0.1149348
250,0.10246483
251,0.12506895
252,0.11814291
253,0.104168594
254,0.12166671
255,0.12326479
256,0.13067496
257,0.091461785
258,0.10046116
259,0.095340535
260,0.11401139
261,0.13858435
262,0.14643258
263,0.16868807
264,0.18263307
265,0.2817838
266,0.2720654
267,0.2351532
268,0.20003086
269,0.17406854
270,0.18398674
271,0.17502768
272,0.21043578
273,0.19904552
274,0.1682522
275,0.1697183
276,0.15555282
277,0.11747203
278,0.09177408
279,0.10810069
280,0.11345357
281,0.10392729
282,0.102279834
283,0.11384556
284,0.14113733
285,0.15715103
286,0.16457818
287,0.13319969
288,0.07032145
289,0.06859792
290,0.06849112
291,0.062195107
292,0.056860425
293,0.06156296
294,0.058732033
295,0.060112927
296,0.060746957
297,0.06322608
298,0.063649654
299,0.064292185
300,0.063123845
301,0.057630274
302,0.061319407
303,0.06296667
304,0.056643136
305,0.059814155
306,0.06472152
307,0.064194106
308,0.0584843
309,0.058774766
310,0.05924903
311,0.058354333
312,0.057287835
313,0.058703218
314,0.061645404
315,0.05896589
316,0.059256524
317,0.05650643
318,0.057516243
319,0.05845508
320,0.058318168
321,0.06421989
322,0.067612454
323,0.056423843
324,0.05771462
325,0.06173668
326,0.061616197
327,0.061455153
328,0.058528546
329,0.059456486
330,0.059818134
331,0.066081196
332,0.078402445
333,0.0668728
334,0.07469826
335,0.07766099
336,0.074304156
337,0.06928109
338,0.06284545
339,0.0605677
340,0.06566367
341,0.060214512
342,0.059446994
343,0.0653403
344,0.057819545
345,0.062550604
346,0.07135224
347,0.06892195
348,0.07415528
349,0.086935915
350,0.07307053
351,0.08951961
352,0.08135946
353,0.101047434
354,0.10461202
355,0.120782286
356,0.11081662
357,0.11935497
358,0.114127375
359,0.11836672
360,0.14609277
361,0.16731007
362,0.16533637
363,0.09318656
364,0.085079655
365,0.0841479
366,0.07842353
367,0.0813894
368,0.07465704
369,0.07952809
370,0.07067213
371,0.06924336
372,0.061638493
373,0.063481174
374,0.06598976
375,0.057689257
376,0.061568543
377,0.06062211
378,0.06358255
379,0.06078215
380,0.06935595
381,0.06808647
382,0.060654745
383,0.05540666
384,0.058838
385,0.058134586
386,0.058835942
387,0.05914545
388,0.059541028
389,0.062264904
390,0.06447691
391,0.06335626
392,0.069739245
393,0.07552865
394,0.07502189
395,0.07365287
396,0.07402175
397,0.06666785
398,0.061864898
399,0.06287083
400,0.062836304
401,0.06189648
402,0.06106387
403,0.06469683
404,0.07139428
405,0.06908035
406,0.06596544
407,0.062058877
408,0.066759996
409,0.06911395
410,0.0656817
411,0.07082081
412,0.066788234
413,0.06271714
414,0.067944504
415,0.072897516
416,0.06085303
417,0.065978326
418,0.07004604
419,0.06869526
420,0.06457502
421,0.064644895
422,0.06717552
423,0.057080097
424,0.05704759
425,0.056194045
426,0.059908044
427,0.06268902
428,0.06879123
429,0.06176193
430,0.078573585
431,0.069295585
432,0.06235801
433,0.061101902
434,0.06565545
435,0.05903226
436,0.06341887
437,0.063352525
438,0.06580708
439,0.06598218
440,0.06100451
441,0.07138936
442,0.06925726
443,0.07068322
444,0.08605675
445,0.072133094
446,0.06263992
447,0.06821731
448,0.0925004
449,0.10293117
450,0.1073187
451,0.117722586
452,0.121573195
453,0.12938565
454,0.13835618
455,0.14633352
456,0.16088852
457,0.15730982
458,0.08803113
459,0.08017002
460,0.078529775
461,0.08303928
462,0.07193869
463,0.06564906
464,0.076311626
465,0.0755087
466,0.07992381
467,0.085327566
468,0.07199588
469,0.06724343
470,0.07260323
471,0.08395969
472,0.078813404
473,0.106584735
474,0.14279385
475,0.19154422
476,0.17886417
477,0.19807225
478,0.21357274
479,0.21991287
480,0.22393732
481,0.16680719
482,0.11506682
483,0.10111323
484,0.08640299
